"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","Consensus.Initial","sc3.33","Monocle.33","Seurat.33","Consensus.33","sc3.66","Monocle.66","Seurat.66","Consensus.66","sc3.90","Monocle.90","Seurat.90","Consensus.90","sc3.Final","Monocle.Final","Seurat.Final","Consensus.Final"
"203","SM-GE64S_S050_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"204","SM-GE64S_S051_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"205","SM-GE64S_S052_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"206","SM-GE64S_S053_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"207","SM-GE64S_S054_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"208","SM-GE64S_S055_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"209","SM-GE64S_S056_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"210","SM-GE64S_S057_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"211","SM-GE64S_S058_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
"212","SM-GE64S_S059_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"213","SM-GE64S_S060_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"214","SM-GE64S_S061_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"215","SM-GE64S_S062_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"216","SM-GE64S_S063_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"217","SM-GE64S_S064_E1-50",3,15,8,17,3,15,8,16,3,15,8,-1,3,15,8,15,3,15,8,16
"218","SM-GE64S_S066_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"219","SM-GE64S_S068_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"220","SM-GE64S_S069_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"221","SM-GE64S_S070_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"222","SM-GE64S_S071_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"223","SM-GE64S_S072_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"224","SM-GE64S_S073_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"225","SM-GE64S_S074_E1-50",4,11,1,-1,4,1,1,-1,4,1,1,1,1,1,1,1,1,1,1,1
"226","SM-GE64S_S075_E1-50",4,11,1,-1,4,1,1,-1,4,1,1,1,1,1,1,1,1,1,1,1
"227","SM-GE64S_S076_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
