cells,sc3-Initial,Monocle-Initial,Seurat-Initial,Consensus-Initial,sc3-33,Monocle-33,Seurat-33,Consensus-33,sc3-66,Monocle-66,Seurat-66,Consensus-66,sc3-90,Monocle-90,Seurat-90,Consensus-90,sc3-Final,Monocle-Final,Seurat-Final,Consensus-Final
Evan_MC_E1_cell715658,57,33,15,18,4,30,9,11,4,30,9,17,4,30,9,18,57,33,15,13
Evan_MC_E1_cell715862,19,4,4,108,69,32,19,-1,69,32,19,-1,69,32,19,-1,17,4,4,53
Evan_MC_E1_cell715919,37,10,7,-1,65,8,10,12,65,8,10,7,65,8,10,13,10,6,7,1
Evan_MC_E1_cell716010,79,9,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_E1_cell716328,31,3,7,1,78,27,1,4,78,14,1,3,4,14,1,5,10,3,7,1
Evan_MC_E1_cell716371,18,24,4,67,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_E1_cell716639,20,21,9,-1,12,15,3,36,1,15,3,52,1,15,3,55,20,21,9,6
Evan_MC_E1_cell716988,12,15,3,142,54,18,11,-1,54,18,11,-1,54,18,11,-1,1,15,3,50
Evan_MC_E1_cell717083,25,17,5,-1,73,13,8,64,73,13,8,63,73,13,8,53,20,1,5,20
Evan_MC_E1_cell717171,6,31,13,19,24,16,11,5,24,16,11,6,24,16,11,4,4,31,13,11
Evan_MC_E1_cell717221,57,33,15,18,76,9,2,-1,76,9,2,-1,76,9,2,-1,57,33,15,13
Evan_MC_E1_cell717717,12,26,3,142,24,17,5,9,24,17,5,9,24,17,5,10,1,15,3,50
Evan_MC_E1_cell717783,62,8,10,15,31,17,5,9,31,17,5,9,31,17,5,10,39,8,10,52
Evan_MC_E1_cell718122,79,9,2,60,70,31,13,15,70,31,13,11,70,31,13,12,51,9,2,46
Evan_MC_E1_cell718274,21,23,30,-1,58,16,11,5,58,16,11,6,58,16,11,4,21,23,30,-1
Evan_MC_E1_cell718287,80,9,2,-1,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_E1_cell718562,24,17,5,85,12,15,3,36,1,15,3,52,1,15,3,55,20,1,5,20
Evan_MC_E1_cell718568,78,27,1,27,2,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_E1_cell718597,73,13,8,54,63,22,12,17,63,22,12,18,63,22,12,19,73,13,8,30
Evan_MC_E1_cell718691,75,25,16,-1,68,31,13,15,68,31,13,11,68,31,13,12,75,25,16,-1
Evan_MC_E1_cell718880,19,28,4,108,12,15,3,36,1,15,3,52,1,15,3,55,17,4,4,53
Evan_MC_E1_cell719008,17,28,4,-1,75,25,16,-1,75,25,16,-1,75,25,16,-1,17,4,4,53
Evan_MC_E1_cell719063,58,18,11,-1,18,24,4,90,17,4,4,81,17,4,4,67,21,16,11,14
Evan_MC_E1_cell719352,31,10,7,1,12,15,3,36,1,15,3,52,1,15,3,55,10,6,7,1
Evan_MC_E1_cell719697,19,28,4,108,4,33,15,16,4,33,15,20,4,33,15,23,17,4,4,53
Evan_MC_E1_cell719787,31,19,7,1,49,19,6,2,49,19,6,2,49,6,6,1,10,6,7,1
Evan_MC_E1_cell720006,78,27,1,27,52,7,14,52,52,7,14,51,52,7,14,47,4,14,1,4
Evan_MC_E1_cell720270,73,7,8,54,30,17,5,9,30,17,5,9,30,17,5,10,73,7,8,30
Evan_MC_E1_cell720328,62,8,10,15,63,22,12,17,63,22,12,18,63,22,12,19,39,8,10,52
Evan_MC_E1_cell720388,68,31,13,19,53,30,9,11,53,30,9,17,53,30,9,18,68,31,13,11
Evan_MC_E1_cell720564,78,34,2,-1,40,6,10,-1,40,6,10,-1,39,6,10,-1,4,9,2,46
Evan_MC_E1_cell720607,56,7,14,52,65,12,20,-1,65,12,20,-1,65,12,20,-1,52,7,14,40
Evan_MC_E1_cell720817,58,1,18,-1,65,12,20,-1,65,12,20,-1,65,12,20,-1,21,1,18,-1
Evan_MC_E1_cell720990,5,35,1,10,53,30,9,11,53,30,9,17,53,30,9,18,4,14,1,4
Evan_MC_E1_cell721147,49,19,26,-1,18,24,4,90,17,4,4,81,17,4,4,67,16,6,6,45
Evan_MC_E1_cell721282,24,17,5,85,75,25,16,-1,75,25,16,-1,75,25,16,-1,20,1,5,20
Evan_MC_E1_cell721555,73,13,8,54,12,15,3,36,1,15,3,52,1,15,3,55,73,13,8,30
Evan_MC_E1_cell721642,70,32,19,-1,49,13,6,2,49,13,6,2,49,13,6,1,68,32,19,-1
Evan_MC_E1_cell721668,40,8,10,15,53,30,9,11,53,30,9,17,53,30,9,18,39,8,10,52
Evan_MC_E1_cell721837,73,13,8,54,73,13,8,64,73,13,8,63,73,13,8,53,73,13,8,30
Evan_MC_E1_cell722265,8,27,1,-1,31,25,7,1,31,25,7,1,31,25,7,2,4,14,1,4
Evan_MC_E1_cell722480,31,3,7,1,52,7,14,52,52,7,14,51,52,7,14,47,10,3,7,1
Evan_MC_E1_cell722678,12,26,3,142,19,4,4,107,17,4,4,81,17,4,4,67,1,15,3,50
Evan_MC_E1_cell722749,73,13,8,54,69,32,19,-1,69,32,19,-1,69,32,19,-1,73,13,8,30
Evan_MC_E1_cell723296,53,30,9,9,18,24,4,90,17,4,4,81,17,4,4,67,53,21,9,6
Evan_MC_E1_cell723381,12,15,3,142,7,5,31,-1,7,5,31,-1,7,5,31,-1,1,15,3,50
Evan_MC_E1_cell723581,6,20,1,16,52,7,14,52,52,7,14,51,52,7,14,47,4,14,1,4
Evan_MC_E1_cell723630,17,4,4,56,20,1,5,105,20,1,5,98,20,1,5,87,17,4,4,53
Evan_MC_E1_cell723860,31,3,7,1,5,20,1,57,5,14,1,3,4,14,1,5,10,3,7,1
Evan_MC_E1_cell723973,79,11,2,55,6,14,1,73,5,14,1,3,4,14,1,5,51,9,2,46
Evan_MC_E1_cell724272,69,32,19,-1,31,7,14,52,31,7,14,51,31,7,14,47,50,32,19,-1
Evan_MC_E1_cell724285,31,3,7,1,79,9,2,34,79,9,2,33,79,9,2,38,10,3,7,1
Evan_MC_E1_cell724292,5,20,1,16,49,19,6,2,49,19,6,2,49,6,6,1,4,14,1,4
Evan_MC_E1_cell724796,63,22,12,20,6,14,1,73,5,14,1,3,4,14,1,5,63,22,12,17
Evan_MC_E1_cell724916,73,13,8,54,25,24,4,-1,25,4,4,-1,25,4,4,-1,73,13,8,30
Evan_MC_E1_cell724917,49,10,6,2,20,1,5,105,20,1,5,98,20,1,5,87,16,6,6,45
Evan_MC_E1_cell724919,79,9,23,-1,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_E1_cell724978,54,18,11,-1,79,9,2,34,79,9,2,33,79,9,2,38,53,16,11,14
Evan_MC_E1_cell725205,79,9,2,60,57,33,15,16,57,33,15,20,57,33,15,23,51,9,2,46
Evan_MC_E1_cell725268,18,24,4,67,7,14,18,-1,7,14,18,-1,7,14,18,-1,17,4,4,53
Evan_MC_E1_cell725370,31,22,7,1,24,17,5,9,24,17,5,9,24,17,5,10,10,22,7,1
Evan_MC_E1_cell725688,75,13,8,-1,4,14,1,-1,4,14,1,3,4,14,1,5,75,13,8,-1
Evan_MC_E1_cell725769,79,9,2,60,20,16,11,5,20,16,11,6,20,16,11,4,51,9,2,46
Evan_MC_E1_cell725777,79,11,2,55,65,12,20,-1,65,12,20,-1,65,12,20,-1,51,9,2,46
Evan_MC_E1_cell725847,79,9,2,60,52,7,14,52,52,7,14,51,52,7,14,47,51,9,2,46
Evan_MC_E1_cell726061,65,12,20,-1,19,28,4,107,17,4,4,81,17,4,4,67,65,12,20,-1
Evan_MC_E1_cell726186,58,18,11,-1,75,13,8,64,75,13,8,63,75,13,8,53,21,16,11,14
Evan_MC_E1_cell726213,18,24,36,-1,68,31,13,15,68,31,13,11,68,31,13,12,17,4,4,53
Evan_MC_E1_cell727140,49,32,22,-1,79,9,2,34,79,9,2,33,79,9,2,38,16,32,22,-1
Evan_MC_E1_cell727536,18,2,27,-1,79,9,2,34,79,9,2,33,79,9,2,38,17,2,27,-1
Evan_MC_E1_cell727597,49,10,22,-1,79,9,2,34,79,9,2,33,79,9,2,38,16,6,22,-1
Evan_MC_E1_cell728108,24,17,5,85,62,8,10,12,62,8,10,7,39,8,10,13,20,1,5,20
Evan_MC_E1_cell728117,12,15,3,142,19,24,4,107,17,4,4,81,17,4,4,67,1,15,3,50
Evan_MC_E1_cell728946,53,30,9,9,20,17,5,9,20,17,5,9,20,17,5,10,53,21,9,6
Evan_MC_E1_cell729253,12,26,3,142,73,13,8,64,73,13,8,63,73,13,8,53,1,15,3,50
Evan_MC_E1_cell729383,79,34,2,60,6,14,1,73,5,14,1,3,4,14,1,5,51,9,2,46
Evan_MC_E1_cell729549,9,20,1,16,24,17,5,9,24,17,5,9,24,17,5,10,4,14,1,4
Evan_MC_E1_cell730282,79,9,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_E1_cell730622,73,13,8,54,20,1,5,105,20,1,5,98,20,1,5,87,73,13,8,30
Evan_MC_E1_cell730884,65,12,20,-1,65,29,17,-1,65,29,17,-1,65,29,17,-1,65,12,20,-1
Evan_MC_E1_cell731164,4,14,1,24,57,33,15,16,57,33,15,20,57,33,15,23,4,14,1,4
Evan_MC_E1_cell731259,21,16,11,4,73,13,8,64,73,13,8,63,73,13,8,53,21,16,11,14
Evan_MC_E1_cell731429,80,34,2,-1,60,33,15,16,60,33,15,20,60,33,15,23,51,9,2,46
Evan_MC_E1_cell731617,24,17,5,85,68,31,13,15,68,31,13,11,68,31,13,12,20,1,5,20
Evan_MC_E1_cell731702,74,36,28,-1,63,22,12,17,63,22,12,18,63,22,12,19,72,36,21,-1
Evan_MC_E1_cell732001,57,33,15,18,18,24,4,90,17,4,4,81,17,4,4,67,57,33,15,13
Evan_MC_E1_cell732041,20,1,5,13,12,15,3,36,1,15,3,52,1,15,3,55,20,1,5,20
Evan_MC_E1_cell732243,12,26,3,142,63,22,12,17,63,22,12,18,63,22,12,19,1,15,3,50
Evan_MC_E1_cell732261,12,15,3,142,69,32,19,-1,69,32,19,-1,69,32,19,-1,1,15,3,50
Evan_MC_E1_cell732655,75,25,16,-1,49,15,3,36,49,15,3,52,49,15,3,55,75,25,16,-1
Evan_MC_E1_cell733139,65,12,20,-1,53,30,9,11,53,30,9,17,53,30,9,18,65,12,20,-1
Evan_MC_E1_cell733153,49,6,6,-1,63,22,12,17,63,22,12,18,63,22,12,19,16,6,6,45
Evan_MC_E1_cell733245,78,27,1,27,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_E1_cell733523,73,13,8,54,17,28,4,-1,17,4,4,81,17,4,4,67,73,13,8,30
Evan_MC_E1_cell733744,79,11,2,55,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_E1_cell733764,31,3,7,1,58,18,11,-1,58,18,11,-1,58,18,11,-1,10,3,7,1
Evan_MC_E1_cell733927,32,35,1,10,73,13,8,64,73,13,8,63,73,13,8,53,32,14,1,-1
Evan_MC_E1_cell733936,68,31,13,19,21,16,11,5,21,16,11,6,21,16,11,4,68,31,13,11
Evan_MC_E1_cell734017,49,3,7,14,73,13,8,64,73,13,8,63,73,13,8,53,16,3,7,19
Evan_MC_E1_cell734437,57,33,15,18,18,24,4,90,17,4,4,81,17,4,4,67,57,33,15,13
Evan_MC_E1_cell734466,62,8,10,15,24,17,5,9,24,17,5,9,24,17,5,10,39,8,10,52
Evan_MC_E1_cell734694,53,10,6,-1,79,9,2,34,79,9,2,33,79,9,2,38,53,6,6,45
Evan_MC_E1_cell734832,52,7,14,52,54,16,11,5,54,16,11,6,54,16,11,4,52,7,14,40
Evan_MC_E1_cell734958,78,27,1,27,54,30,9,32,54,30,9,31,54,30,9,28,4,14,1,4
Evan_MC_E1_cell735461,80,11,2,55,40,6,10,-1,40,6,10,-1,39,6,10,-1,51,9,2,46
Evan_MC_E1_cell735512,71,32,19,-1,24,17,5,9,24,17,5,9,24,17,5,10,71,32,19,-1
Evan_MC_E1_cell736134,63,22,12,20,8,27,1,4,8,14,1,3,4,14,1,5,63,22,12,17
Evan_MC_E1_cell736626,54,30,9,9,5,20,1,57,5,14,1,3,4,14,1,5,53,21,9,6
Evan_MC_E1_cell736811,79,34,2,60,53,30,9,11,53,30,9,17,53,30,9,18,51,9,2,46
Evan_MC_E1_cell736879,78,27,1,27,5,20,1,57,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_E1_cell736895,49,10,7,-1,54,30,18,32,54,30,18,31,54,30,18,28,16,6,7,-1
Evan_MC_E1_cell737021,12,26,3,142,53,18,9,-1,53,18,9,-1,53,18,9,-1,1,15,3,50
Evan_MC_E1_cell737073,49,10,6,2,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_F1_cell33,49,19,6,2,12,15,3,36,1,15,3,52,1,15,3,55,16,6,6,45
Evan_MC_F1_cell170,49,19,25,-1,24,16,11,5,24,16,11,6,24,16,11,4,16,6,6,45
Evan_MC_F1_cell705,12,26,3,142,63,22,12,17,63,22,12,18,63,22,12,19,1,15,3,50
Evan_MC_F1_cell714,79,34,2,60,72,36,21,-1,72,36,21,-1,72,36,21,-1,51,9,2,46
Evan_MC_F1_cell914,75,25,16,-1,79,9,2,34,79,9,2,33,79,9,2,38,75,25,16,-1
Evan_MC_F1_cell1416,79,9,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_F1_cell1755,1,15,3,-1,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_F1_cell1858,19,28,4,108,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_F1_cell2088,20,1,5,13,73,13,8,64,73,13,8,63,73,13,8,53,20,1,5,20
Evan_MC_F1_cell2205,62,8,10,15,6,14,1,73,5,14,1,3,4,14,1,5,39,8,10,52
Evan_MC_F1_cell2400,12,15,3,142,2,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_F1_cell3148,62,8,10,15,79,9,2,34,79,9,2,33,79,9,2,38,39,8,10,52
Evan_MC_F1_cell3384,53,30,9,9,49,3,6,2,49,3,6,2,49,3,6,1,53,21,9,6
Evan_MC_F1_cell3595,52,7,14,52,24,17,5,9,24,17,5,9,24,17,5,10,52,7,14,40
Evan_MC_F1_cell4451,78,22,1,-1,69,32,19,-1,69,32,19,-1,69,32,19,-1,4,22,1,-1
Evan_MC_F1_cell5466,2,15,3,-1,53,30,9,11,53,30,9,17,53,30,9,18,1,15,3,50
Evan_MC_F1_cell5477,72,36,28,-1,19,28,4,107,17,4,4,81,17,4,4,67,72,36,21,-1
Evan_MC_F1_cell5605,17,4,4,56,4,27,1,4,4,14,1,3,4,14,1,5,17,4,4,53
Evan_MC_F1_cell5685,49,10,6,2,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_F1_cell6421,57,33,15,18,65,29,17,-1,65,29,17,-1,65,29,17,-1,57,33,15,13
Evan_MC_F1_cell6764,20,1,5,13,12,15,3,36,1,15,3,52,1,15,3,55,20,1,5,20
Evan_MC_F1_cell6771,24,17,5,85,20,1,5,105,20,1,5,98,20,1,5,87,20,1,5,20
Evan_MC_F1_cell7698,54,30,9,9,12,15,3,36,1,15,3,52,1,15,3,55,53,21,9,6
Evan_MC_F1_cell7793,49,10,6,2,57,33,15,16,57,33,15,20,57,33,15,23,16,6,6,45
Evan_MC_F1_cell7919,49,10,6,2,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_F1_cell8022,75,25,16,-1,54,30,9,32,54,30,9,31,54,30,9,28,75,25,16,-1
Evan_MC_F1_cell8244,12,15,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_F1_cell9068,24,27,5,85,18,24,4,90,17,4,4,81,17,4,4,67,20,14,5,-1
Evan_MC_F1_cell9104,20,1,5,13,54,16,11,5,54,16,11,6,54,16,11,4,20,1,5,20
Evan_MC_F1_cell9131,12,15,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_F1_cell9207,49,36,24,-1,39,8,10,12,39,8,10,7,39,8,10,13,16,36,24,-1
Evan_MC_F1_cell9230,58,30,9,9,25,17,1,-1,25,17,1,-1,25,17,1,-1,21,21,9,6
Evan_MC_F1_cell9326,79,9,2,60,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_F1_cell10056,20,1,5,13,72,36,21,-1,72,36,21,-1,72,36,21,-1,20,1,5,20
Evan_MC_F1_cell10691,68,31,13,19,68,31,13,15,68,31,13,11,68,31,13,12,68,31,13,11
Evan_MC_F1_cell11228,49,19,6,2,75,13,8,64,75,13,8,63,75,13,8,53,16,6,6,45
Evan_MC_F1_cell11236,12,26,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_F1_cell11352,6,14,1,24,73,13,8,64,73,13,8,63,73,13,8,53,4,14,1,4
Evan_MC_F1_cell11435,63,22,12,20,20,21,9,-1,20,21,9,-1,20,21,9,-1,63,22,12,17
Evan_MC_F1_cell11590,78,14,1,24,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_F1_cell11823,63,22,12,20,18,24,4,90,17,4,4,81,17,4,4,67,63,22,12,17
Evan_MC_F1_cell12047,54,5,31,-1,12,15,3,36,1,15,3,52,1,15,3,55,53,5,31,-1
Evan_MC_F1_cell12214,79,11,2,55,79,9,29,34,79,9,29,33,79,9,29,38,51,9,2,46
Evan_MC_F1_cell12895,20,1,5,13,12,15,3,36,1,15,3,52,1,15,3,55,20,1,5,20
Evan_MC_F1_cell13012,12,26,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_F1_cell14131,52,7,14,52,79,9,2,34,79,9,2,33,79,9,2,38,52,7,14,40
Evan_MC_F1_cell14338,79,11,2,55,57,33,15,16,57,33,15,20,57,33,15,23,51,9,2,46
Evan_MC_F1_cell14942,24,17,5,85,60,33,15,16,60,33,15,20,60,33,15,23,20,1,5,20
Evan_MC_F1_cell14949,12,26,3,142,62,8,10,12,62,8,10,7,39,8,10,13,1,15,3,50
Evan_MC_F1_cell15031,57,33,15,18,2,15,3,36,1,15,3,52,1,15,3,55,57,33,15,13
Evan_MC_F1_cell15222,79,9,2,60,52,7,14,52,52,7,14,51,52,7,14,47,51,9,2,46
Evan_MC_F1_cell15297,73,13,8,54,78,27,1,4,78,14,1,3,4,14,1,5,73,13,8,30
Evan_MC_F1_cell15326,78,35,1,10,25,17,5,9,25,17,5,9,25,17,5,10,4,14,1,4
Evan_MC_F1_cell15451,31,3,6,-1,73,15,8,-1,73,15,8,-1,73,15,8,-1,10,3,6,-1
Evan_MC_F1_cell15832,24,17,5,85,79,9,2,34,79,9,2,33,79,9,2,38,20,1,5,20
Evan_MC_F1_cell16075,19,28,4,108,63,22,12,17,63,22,12,18,63,22,12,19,17,4,4,53
Evan_MC_F1_cell16270,24,17,5,85,25,24,4,-1,25,4,4,-1,25,4,4,-1,20,1,5,20
Evan_MC_F1_cell16497,64,29,17,-1,17,4,4,72,17,4,4,81,17,4,4,67,64,29,17,-1
Evan_MC_F1_cell16559,12,15,3,142,20,21,9,-1,20,21,9,-1,20,21,9,-1,1,15,3,50
Evan_MC_F1_cell16583,18,24,4,67,58,16,11,5,58,16,11,6,58,16,11,4,17,4,4,53
Evan_MC_F1_cell17106,25,24,4,67,53,30,9,11,53,30,9,17,53,30,9,18,20,4,4,53
Evan_MC_F1_cell17517,20,1,18,-1,73,13,8,64,73,13,8,63,73,13,8,53,20,1,18,-1
Evan_MC_F1_cell17826,63,22,12,20,22,2,27,-1,22,2,27,-1,22,2,27,-1,63,22,12,17
Evan_MC_F1_cell17929,68,31,13,19,73,13,8,64,73,13,8,63,73,13,8,53,68,31,13,11
Evan_MC_F1_cell18295,72,36,21,-1,53,19,6,-1,53,19,6,-1,53,6,6,-1,72,36,21,-1
Evan_MC_F1_cell18355,79,34,2,60,49,10,6,2,49,10,6,2,49,6,6,1,51,9,2,46
Evan_MC_F1_cell18900,39,6,10,-1,17,4,4,72,17,4,4,81,17,4,4,67,39,6,10,52
Evan_MC_F1_cell19392,69,32,19,-1,53,30,9,11,53,30,9,17,53,30,9,18,50,32,19,-1
Evan_MC_F1_cell19396,12,26,3,142,53,8,6,-1,53,8,6,-1,53,8,6,-1,1,15,3,50
Evan_MC_F1_cell19502,66,22,12,20,4,14,1,-1,4,14,1,3,4,14,1,5,63,22,12,17
Evan_MC_F1_cell19659,12,26,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_F1_cell19834,49,10,6,2,73,13,8,64,73,13,8,63,73,13,8,53,16,6,6,45
Evan_MC_F1_cell20598,24,17,5,85,54,18,11,-1,54,18,11,-1,54,18,11,-1,20,1,5,20
Evan_MC_F1_cell20633,49,36,24,-1,32,17,5,9,32,17,5,9,32,17,5,10,16,36,24,-1
Evan_MC_F1_cell21040,14,23,30,-1,54,30,9,32,54,30,9,31,54,30,9,28,4,23,30,-1
Evan_MC_F1_cell21078,79,9,2,60,4,20,1,-1,4,14,1,3,4,14,1,5,51,9,2,46
Evan_MC_F1_cell21416,54,30,9,9,62,8,10,12,62,8,10,7,39,8,10,13,53,21,9,6
Evan_MC_F1_cell21467,62,8,10,15,39,8,10,12,39,8,10,7,39,8,10,13,39,8,10,52
Evan_MC_F1_cell22151,52,7,14,52,12,15,3,36,1,15,3,52,1,15,3,55,52,7,14,40
Evan_MC_F1_cell22211,19,28,4,108,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_F1_cell22916,12,15,3,142,20,1,5,105,20,1,5,98,20,1,5,87,1,15,3,50
Evan_MC_F1_cell22995,78,27,1,27,24,17,5,9,24,17,5,9,24,17,5,10,4,14,1,4
Evan_MC_F1_cell23216,56,7,14,52,26,28,4,-1,17,4,4,81,17,4,4,67,52,7,14,40
Evan_MC_F1_cell23224,5,35,1,10,58,18,11,-1,58,18,11,-1,58,18,11,-1,4,14,1,4
Evan_MC_F1_cell23319,52,7,14,52,63,31,13,15,63,31,13,11,63,31,13,12,52,7,14,40
Evan_MC_F1_cell23491,73,13,8,54,19,28,4,107,17,4,4,81,17,4,4,67,73,13,8,30
Evan_MC_F1_cell23746,79,9,2,60,73,13,8,64,73,13,8,63,73,13,8,53,51,9,2,46
Evan_MC_F1_cell23782,12,15,3,142,52,7,14,52,52,7,14,51,52,7,14,47,1,15,3,50
Evan_MC_F1_cell24088,30,17,5,-1,79,9,2,34,79,9,2,33,79,9,2,38,20,1,5,20
Evan_MC_F1_cell24117,12,26,3,142,24,17,5,9,24,17,5,9,24,17,5,10,1,15,3,50
Evan_MC_F1_cell24311,58,16,11,4,5,27,1,57,5,14,1,3,4,14,1,5,21,16,11,14
Evan_MC_F1_cell24533,7,16,22,-1,6,20,1,73,5,14,1,3,4,14,1,5,7,16,22,-1
Evan_MC_F1_cell24746,21,1,18,-1,12,15,3,36,1,15,3,52,1,15,3,55,21,1,18,-1
Evan_MC_F1_cell25031,71,13,24,-1,20,1,5,105,20,1,5,98,20,1,5,87,71,13,24,-1
Evan_MC_F1_cell25194,80,9,2,-1,18,24,4,90,17,4,4,81,17,4,4,67,51,9,2,46
Evan_MC_F1_cell25356,63,22,12,20,49,19,6,2,49,19,6,2,49,6,6,1,63,22,12,17
Evan_MC_F1_cell25491,54,7,14,52,31,17,5,9,31,17,5,9,31,17,5,10,53,7,14,-1
Evan_MC_F1_cell25716,12,26,3,142,79,27,1,4,79,14,1,3,79,14,1,5,1,15,3,50
Evan_MC_F1_cell25911,73,13,8,54,63,22,12,17,63,22,12,18,63,22,12,19,73,13,8,30
Evan_MC_F1_cell26541,52,7,14,52,62,8,10,12,62,8,10,7,39,8,10,13,52,7,14,40
Evan_MC_F1_cell26754,63,22,12,20,79,9,2,34,79,9,2,33,79,9,2,38,63,22,12,17
Evan_MC_F1_cell26757,5,20,1,16,18,24,4,90,17,4,4,81,17,4,4,67,4,14,1,4
Evan_MC_F1_cell26827,14,23,30,-1,31,16,7,1,31,16,7,1,31,16,7,2,4,23,30,-1
Evan_MC_F1_cell26836,12,26,3,142,5,27,1,57,5,14,1,3,4,14,1,5,1,15,3,50
Evan_MC_F1_cell27425,17,4,14,-1,62,8,10,12,62,8,10,7,39,8,10,13,17,4,14,-1
Evan_MC_F1_cell28222,12,15,3,142,31,17,5,9,31,17,5,9,31,17,5,10,1,15,3,50
Evan_MC_F1_cell28307,80,9,2,-1,53,30,9,11,53,30,9,17,53,30,9,18,51,9,2,46
Evan_MC_F1_cell28410,39,8,10,15,12,15,3,36,1,15,3,52,1,15,3,55,39,8,10,52
Evan_MC_F1_cell28465,49,3,6,14,54,30,9,32,54,30,9,31,54,30,9,28,16,3,6,19
Evan_MC_F1_cell28705,77,25,16,-1,68,31,13,15,68,31,13,11,68,31,13,12,75,25,16,-1
Evan_MC_F1_cell28740,19,4,4,108,4,27,1,4,4,14,1,3,4,14,1,5,17,4,4,53
Evan_MC_F1_cell29051,66,22,12,20,12,15,3,36,1,15,3,52,1,15,3,55,63,22,12,17
Evan_MC_F1_cell29189,49,10,6,2,20,1,5,105,20,1,5,98,20,1,5,87,16,6,6,45
Evan_MC_F1_cell29732,78,27,1,27,79,9,2,34,79,9,2,33,79,9,2,38,4,14,1,4
Evan_MC_F1_cell30201,13,20,1,16,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_F1_cell30208,54,30,9,9,72,36,21,-1,72,36,21,-1,72,36,21,-1,53,21,9,6
Evan_MC_F1_cell30391,53,19,6,-1,78,27,1,4,78,14,1,3,4,14,1,5,53,6,6,45
Evan_MC_F1_cell31291,1,26,3,-1,49,8,10,12,49,8,10,7,49,8,10,13,1,15,3,50
Evan_MC_F1_cell32287,5,20,1,16,53,30,9,11,53,30,9,17,53,30,9,18,4,14,1,4
Evan_MC_F1_cell32394,11,27,1,-1,54,18,11,-1,54,18,11,-1,54,18,11,-1,4,14,1,4
Evan_MC_F1_cell32439,12,15,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_F1_cell32474,75,13,8,-1,79,9,2,34,79,9,2,33,79,9,2,38,75,13,8,-1
Evan_MC_F1_cell32544,73,13,8,54,49,10,6,2,49,10,6,2,49,6,6,1,73,13,8,30
Evan_MC_F1_cell32557,52,7,14,52,24,17,5,9,24,17,5,9,24,17,5,10,52,7,14,40
Evan_MC_F1_cell32970,73,13,8,54,54,30,9,32,54,30,9,31,54,30,9,28,73,13,8,30
Evan_MC_F1_cell32972,14,14,1,24,8,27,1,4,8,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_F1_cell33094,30,17,5,-1,63,22,12,17,63,22,12,18,63,22,12,19,20,1,5,20
Evan_MC_F1_cell33160,78,20,1,16,73,13,8,64,73,13,8,63,73,13,8,53,4,14,1,4
Evan_MC_F1_cell33238,6,14,1,24,31,25,16,-1,31,25,16,-1,31,25,16,-1,4,14,1,4
Evan_MC_F1_cell33253,78,11,34,-1,52,7,14,52,52,7,14,51,52,7,14,47,4,9,2,46
Evan_MC_F1_cell33500,21,16,11,4,20,16,11,5,20,16,11,6,20,16,11,4,21,16,11,14
Evan_MC_F1_cell34212,64,29,17,-1,12,15,3,36,1,15,3,52,1,15,3,55,64,29,17,-1
Evan_MC_F1_cell34459,69,32,19,-1,78,27,1,4,78,14,1,3,4,14,1,5,50,32,19,-1
Evan_MC_F1_cell34722,49,3,6,14,12,15,3,36,1,15,3,52,1,15,3,55,16,3,6,19
