cells,sc3-Initial,Monocle-Initial,Seurat-Initial,Consensus-Initial,sc3-33,Monocle-33,Seurat-33,Consensus-33,sc3-66,Monocle-66,Seurat-66,Consensus-66,sc3-90,Monocle-90,Seurat-90,Consensus-90,sc3-Final,Monocle-Final,Seurat-Final,Consensus-Final
Evan_MC_C1_cell422432,78,27,1,27,52,7,23,-1,52,7,23,-1,52,7,2,-1,4,14,1,4
Evan_MC_C1_cell423260,19,28,4,108,5,14,1,57,5,14,1,3,4,14,1,5,17,4,4,53
Evan_MC_C1_cell423395,12,15,3,142,7,35,18,-1,7,14,18,-1,7,14,18,-1,1,15,3,50
Evan_MC_C1_cell423826,73,13,8,54,69,32,19,-1,69,32,19,-1,69,32,19,-1,73,13,8,30
Evan_MC_C1_cell423988,79,9,2,60,31,6,7,1,31,6,7,1,31,6,7,2,51,9,2,46
Evan_MC_C1_cell424228,31,3,7,1,12,15,3,36,1,15,3,52,1,15,3,55,10,3,7,1
Evan_MC_C1_cell424264,64,29,17,-1,73,13,8,64,73,13,8,63,73,13,8,53,64,29,17,-1
Evan_MC_C1_cell424399,73,13,8,54,19,28,4,107,17,4,4,81,17,4,4,67,73,13,8,30
Evan_MC_C1_cell424600,73,13,8,54,12,15,3,36,1,15,3,52,1,15,3,55,73,13,8,30
Evan_MC_C1_cell424674,78,27,1,27,54,30,9,32,54,30,9,31,54,30,9,28,4,14,1,4
Evan_MC_C1_cell424716,80,11,2,55,53,30,9,11,53,30,9,17,53,30,9,18,51,9,2,46
Evan_MC_C1_cell424869,32,3,7,-1,70,31,13,15,70,31,13,11,70,31,13,12,32,3,7,-1
Evan_MC_C1_cell424916,75,13,8,-1,31,20,7,1,31,14,7,1,31,14,7,2,75,13,8,-1
Evan_MC_C1_cell425103,49,22,7,-1,49,10,29,-1,49,10,29,-1,49,6,29,-1,16,22,7,-1
Evan_MC_C1_cell425225,49,19,6,2,75,25,16,-1,75,25,16,-1,75,25,16,-1,16,6,6,45
Evan_MC_C1_cell425265,52,7,14,52,5,20,1,57,5,14,1,3,4,14,1,5,52,7,14,40
Evan_MC_C1_cell425354,49,10,6,2,12,15,3,36,1,15,3,52,1,15,3,55,16,6,6,45
Evan_MC_C1_cell425493,5,20,1,16,25,21,1,-1,25,21,1,-1,25,21,1,-1,4,14,1,4
Evan_MC_C1_cell425535,79,34,2,60,53,3,6,-1,53,3,6,-1,53,3,6,-1,51,9,2,46
Evan_MC_C1_cell425668,75,13,8,-1,57,33,15,16,57,33,15,20,57,33,15,23,75,13,8,-1
Evan_MC_C1_cell426148,78,27,1,27,62,8,10,12,62,8,10,7,39,8,10,13,4,14,1,4
Evan_MC_C1_cell426297,53,3,7,-1,79,9,2,34,79,9,2,33,79,9,2,38,53,3,7,-1
Evan_MC_C1_cell426347,68,31,13,19,19,28,4,107,17,4,4,81,17,4,4,67,68,31,13,11
Evan_MC_C1_cell426348,54,30,9,9,57,33,15,16,57,33,15,20,57,33,15,23,53,21,9,6
Evan_MC_C1_cell426573,49,19,6,2,17,4,4,72,17,4,4,81,17,4,4,67,16,6,6,45
Evan_MC_C1_cell426624,19,28,4,108,56,7,14,52,56,7,14,51,56,7,14,47,17,4,4,53
Evan_MC_C1_cell426995,14,14,1,24,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_C1_cell427244,78,27,1,27,79,9,2,34,79,9,2,33,79,9,2,38,4,14,1,4
Evan_MC_C1_cell427262,49,19,6,2,75,25,16,-1,75,25,16,-1,75,25,16,-1,16,6,6,45
Evan_MC_C1_cell427426,63,22,12,20,79,27,1,4,79,14,1,3,79,14,1,5,63,22,12,17
Evan_MC_C1_cell427434,61,16,11,4,79,9,2,34,79,9,2,33,79,9,2,38,21,16,11,14
Evan_MC_C1_cell427443,12,15,3,142,20,1,5,105,20,1,5,98,20,1,5,87,1,15,3,50
Evan_MC_C1_cell427464,79,9,2,60,62,8,10,12,62,8,10,7,39,8,10,13,51,9,2,46
Evan_MC_C1_cell427608,79,11,2,55,53,30,9,11,53,30,9,17,53,30,9,18,51,9,2,46
Evan_MC_C1_cell427799,12,15,3,142,73,13,8,64,73,13,8,63,73,13,8,53,1,15,3,50
Evan_MC_C1_cell427836,75,25,16,-1,24,17,5,9,24,17,5,9,24,17,5,10,75,25,16,-1
Evan_MC_C1_cell427859,73,13,8,54,63,22,12,17,63,22,12,18,63,22,12,19,73,13,8,30
Evan_MC_C1_cell427865,53,10,6,-1,69,32,19,-1,69,32,19,-1,69,32,19,-1,53,6,6,45
Evan_MC_C1_cell427930,6,14,20,-1,78,27,1,4,78,14,1,3,4,14,1,5,4,14,20,4
Evan_MC_C1_cell428413,19,28,4,108,49,3,7,-1,49,3,7,-1,49,3,7,-1,17,4,4,53
Evan_MC_C1_cell428676,53,30,9,9,73,13,8,64,73,13,8,63,73,13,8,53,53,21,9,6
Evan_MC_C1_cell428685,2,26,3,-1,31,3,11,-1,31,3,11,-1,31,3,11,-1,1,15,3,50
Evan_MC_C1_cell429060,12,26,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_C1_cell429066,79,9,2,60,67,29,17,-1,67,29,17,-1,67,29,17,-1,51,9,2,46
Evan_MC_C1_cell429078,65,12,20,-1,12,15,3,36,1,15,3,52,1,15,3,55,65,12,20,-1
Evan_MC_C1_cell429310,31,3,7,1,31,1,7,1,31,1,7,1,31,1,7,2,10,3,7,1
Evan_MC_C1_cell429353,78,27,1,27,6,20,1,73,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_C1_cell429773,65,12,20,-1,68,31,13,15,68,31,13,11,68,31,13,12,65,12,20,-1
Evan_MC_C1_cell429925,79,34,2,60,49,6,6,2,49,6,6,2,49,6,6,1,51,9,2,46
Evan_MC_C1_cell430146,49,10,6,2,73,10,8,-1,73,10,8,-1,73,6,8,-1,16,6,6,45
Evan_MC_C1_cell430309,31,2,7,1,79,9,2,34,79,9,2,33,79,9,2,38,10,2,7,1
Evan_MC_C1_cell431003,49,19,6,2,65,8,10,12,65,8,10,7,65,8,10,13,16,6,6,45
Evan_MC_C1_cell431027,17,4,4,56,64,29,17,-1,64,29,17,-1,64,29,17,-1,17,4,4,53
Evan_MC_C1_cell431055,40,3,6,-1,49,3,25,-1,49,3,25,-1,49,3,6,1,39,3,6,-1
Evan_MC_C1_cell431318,49,19,6,2,54,18,11,-1,54,18,11,-1,54,18,11,-1,16,6,6,45
Evan_MC_C1_cell431432,72,36,21,-1,24,17,5,9,24,17,5,9,24,17,5,10,72,36,21,-1
Evan_MC_C1_cell431480,31,3,7,1,75,25,16,-1,75,25,16,-1,75,25,16,-1,10,3,7,1
Evan_MC_C1_cell431720,78,27,1,27,52,7,14,52,52,7,14,51,52,7,14,47,4,14,1,4
Evan_MC_C1_cell431890,17,4,4,56,49,6,6,2,49,6,6,2,49,6,6,1,17,4,4,53
Evan_MC_C1_cell432136,73,13,8,54,68,31,13,15,68,31,13,11,68,31,13,12,73,13,8,30
Evan_MC_C1_cell432300,61,16,18,-1,24,17,5,9,24,17,5,9,24,17,5,10,21,16,18,-1
Evan_MC_C1_cell432346,25,17,5,-1,53,30,9,11,53,30,9,17,53,30,9,18,20,1,5,20
Evan_MC_C1_cell432452,63,22,12,20,77,25,16,-1,77,25,16,-1,77,25,16,-1,63,22,12,17
Evan_MC_C1_cell432456,19,24,4,108,31,8,10,12,31,8,10,7,31,8,10,13,17,4,4,53
Evan_MC_C1_cell432482,49,8,10,15,79,9,2,34,79,9,2,33,79,9,2,38,16,8,10,-1
Evan_MC_C1_cell433106,80,11,2,55,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_C1_cell433133,49,3,26,14,49,10,7,-1,49,10,7,-1,49,6,7,-1,16,3,6,19
Evan_MC_C1_cell433479,78,27,1,27,49,24,7,-1,49,4,7,-1,49,4,7,-1,4,14,1,4
Evan_MC_C1_cell433484,49,6,6,-1,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_C1_cell433495,49,7,7,-1,71,32,19,-1,71,32,19,-1,71,32,19,-1,16,7,7,-1
Evan_MC_C1_cell433572,4,14,1,24,19,24,4,107,17,4,4,81,17,4,4,67,4,14,1,4
Evan_MC_C1_cell433740,5,35,1,10,66,22,12,17,66,22,12,18,66,22,12,19,4,14,1,4
Evan_MC_C1_cell433842,79,34,2,60,68,31,13,15,68,31,13,11,68,31,13,12,51,9,2,46
Evan_MC_C1_cell433949,17,4,4,56,53,30,9,11,53,30,9,17,53,30,9,18,17,4,4,53
Evan_MC_C1_cell434120,54,5,31,-1,63,22,12,17,63,22,12,18,63,22,12,19,53,5,31,-1
Evan_MC_C1_cell434208,39,6,10,-1,49,19,10,-1,49,19,10,-1,49,6,10,-1,39,6,10,52
Evan_MC_C1_cell434309,49,3,6,14,21,16,11,5,21,16,11,6,21,16,11,4,16,3,6,19
Evan_MC_C1_cell434611,56,7,14,52,12,15,35,-1,1,15,35,-1,1,15,35,-1,52,7,14,40
Evan_MC_C1_cell434628,49,10,6,2,24,17,5,9,24,17,5,9,24,17,5,10,16,6,6,45
Evan_MC_C1_cell434687,2,15,3,-1,31,3,7,1,31,3,7,1,31,3,7,2,1,15,3,50
Evan_MC_C1_cell434721,12,15,3,142,75,25,16,-1,75,25,16,-1,75,25,16,-1,1,15,3,50
Evan_MC_C1_cell434779,79,9,2,60,31,3,7,1,31,3,7,1,31,3,7,2,51,9,2,46
Evan_MC_C1_cell434830,78,27,1,27,26,24,4,-1,17,4,4,81,17,4,4,67,4,14,1,4
Evan_MC_C1_cell435028,54,30,9,9,58,16,11,5,58,16,11,6,58,16,11,4,53,21,9,6
Evan_MC_C1_cell435617,31,3,7,1,78,27,1,4,78,14,1,3,4,14,1,5,10,3,7,1
Evan_MC_C1_cell435712,79,34,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_C1_cell435766,72,36,21,-1,79,9,2,34,79,9,2,33,79,9,2,38,72,36,21,-1
Evan_MC_C1_cell435842,57,33,15,18,49,19,6,2,49,19,6,2,49,6,6,1,57,33,15,13
Evan_MC_C1_cell436104,65,8,10,15,71,36,24,-1,71,36,24,-1,71,36,24,-1,65,8,10,-1
Evan_MC_C1_cell436298,72,36,21,-1,31,29,7,1,31,29,7,1,31,29,7,2,72,36,21,-1
Evan_MC_C1_cell436315,19,28,4,108,49,6,6,2,49,6,6,2,49,6,6,1,17,4,4,53
Evan_MC_C1_cell436364,79,9,2,60,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_C1_cell436461,25,24,4,67,63,22,12,17,63,22,12,18,63,22,12,19,20,4,4,53
Evan_MC_C1_cell436542,79,9,2,60,31,3,7,1,31,3,7,1,31,3,7,2,51,9,2,46
Evan_MC_C1_cell436643,65,8,10,15,19,24,4,107,17,4,4,81,17,4,4,67,65,8,10,-1
Evan_MC_C1_cell436869,63,22,12,20,18,2,4,90,17,2,4,81,17,2,4,67,63,22,12,17
Evan_MC_C1_cell436969,49,6,6,-1,7,14,18,-1,7,14,18,-1,7,14,18,-1,16,6,6,45
Evan_MC_C1_cell436973,79,9,23,-1,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_C1_cell437085,80,9,2,-1,78,27,1,4,78,14,1,3,4,14,1,5,51,9,2,46
Evan_MC_C1_cell437558,68,31,13,19,62,8,10,12,62,8,10,7,39,8,10,13,68,31,13,11
Evan_MC_C1_cell437562,6,35,1,10,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_C1_cell437703,53,30,9,9,20,1,5,105,20,1,5,98,20,1,5,87,53,21,9,6
Evan_MC_C1_cell437818,5,20,1,16,73,13,8,64,73,13,8,63,73,13,8,53,4,14,1,4
Evan_MC_C1_cell438248,49,6,6,-1,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_C1_cell438447,49,3,6,14,53,30,9,11,53,30,9,17,53,30,9,18,16,3,6,19
Evan_MC_C1_cell438720,49,32,24,-1,12,15,3,36,1,15,3,52,1,15,3,55,16,32,24,-1
Evan_MC_C1_cell438757,49,6,7,-1,19,24,4,107,17,4,4,81,17,4,4,67,16,6,7,-1
Evan_MC_C1_cell438779,61,16,11,4,18,24,4,90,17,4,4,81,17,4,4,67,21,16,11,14
