"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"5218","SM-GE66P_S188_E1-50",37,17,17,37,17,17,37,17,17,36,17,17,36,17,17
"5219","SM-GE66P_S189_E1-50",1,22,2,1,22,2,1,22,2,1,22,2,1,22,2
"5220","SM-GE66P_S190_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"5221","SM-GE66P_S191_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"5222","SM-GE66P_S192_E1-50",12,21,3,12,21,3,11,21,3,11,21,3,11,21,3
"5223","SM-GE66A_S001_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"5224","SM-GE66A_S002_E1-50",33,9,16,33,9,16,33,9,16,33,9,9,18,4,9
"5225","SM-GE66A_S003_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5226","SM-GE66A_S004_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5227","SM-GE66A_S005_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5228","SM-GE66A_S006_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5229","SM-GE66A_S007_E1-50",19,4,9,19,4,9,18,4,9,18,4,9,18,4,9
"5230","SM-GE66A_S008_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5231","SM-GE66A_S009_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"5232","SM-GE66A_S010_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5233","SM-GE66A_S011_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"5234","SM-GE66A_S012_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5235","SM-GE66A_S013_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"5236","SM-GE66A_S014_E1-50",27,26,8,27,26,8,27,26,8,27,26,8,3,13,8
"5237","SM-GE66A_S015_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"5238","SM-GE66A_S016_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5239","SM-GE66A_S017_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"5240","SM-GE66A_S020_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5241","SM-GE66A_S021_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5242","SM-GE66A_S022_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5243","SM-GE66A_S023_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"5244","SM-GE66A_S024_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
