cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
4146,42,31,17,42,31,17,42,31,17,31,31,17,31,31,17
4147,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4148,38,23,22,38,23,22,38,23,22,38,23,22,38,23,22
4149,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
4150,38,37,24,38,37,24,38,32,9,38,32,9,38,32,9
4151,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4152,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
4153,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
4154,38,37,24,38,37,24,38,32,9,38,32,9,38,32,9
4155,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
4156,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
4157,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
4158,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
4159,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4160,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
4161,14,45,11,14,43,6,14,42,6,14,42,6,14,42,6
4162,14,44,11,14,43,6,14,42,6,14,42,6,14,42,6
4163,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
4164,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
4165,41,37,17,41,37,17,41,32,17,41,32,17,41,32,17
4166,41,39,17,41,39,17,41,39,17,41,39,17,41,38,17
4167,37,23,22,37,23,22,37,23,22,37,23,22,37,23,22
4168,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
4169,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4170,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4171,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4172,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4173,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4174,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4175,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4176,40,1,21,40,1,21,40,1,21,40,1,21,40,1,21
4177,34,34,13,34,34,13,34,34,13,34,34,13,34,34,13
4178,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
4179,34,35,13,34,35,13,34,35,13,34,34,13,34,34,13
4180,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
4181,36,35,13,36,35,13,36,35,13,36,34,13,14,34,13
4182,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
4183,41,38,17,41,38,17,41,38,17,41,38,17,41,38,17
4184,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
4185,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
4186,34,41,13,34,41,13,34,41,13,34,41,13,34,41,13
4187,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
4188,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
4189,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
4190,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
4191,14,42,11,14,42,6,14,42,6,14,42,6,14,42,6
4192,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
4193,34,35,13,34,35,13,34,35,13,34,34,13,34,34,13
4194,14,44,11,14,43,6,14,42,6,14,42,6,14,42,6
4195,34,41,13,34,41,13,34,41,13,34,41,13,34,41,13
4196,34,41,13,34,41,13,34,41,13,34,41,13,34,41,13
4197,14,42,11,14,42,6,14,42,6,14,42,6,14,42,6
4198,34,35,13,34,35,13,34,35,13,34,34,13,34,34,13
4199,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
4200,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4201,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4202,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4203,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4204,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4205,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4206,6,21,2,6,21,2,6,21,2,6,21,2,6,21,2
4207,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
4208,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4209,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4210,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4211,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
