"","80","100","120","cells"
"314",54,49,76,"Evan_MC_A1_cell58612"
"315",66,78,4,"Evan_MC_A1_cell58827"
"316",75,87,117,"Evan_MC_A1_cell58933"
"317",52,48,105,"Evan_MC_A1_cell59025"
"318",5,10,27,"Evan_MC_A1_cell59185"
"319",75,87,117,"Evan_MC_A1_cell59546"
"320",41,25,75,"Evan_MC_A1_cell59989"
"321",19,79,45,"Evan_MC_A1_cell60116"
"322",54,52,95,"Evan_MC_A1_cell60124"
"323",24,14,49,"Evan_MC_A1_cell60226"
"324",12,24,99,"Evan_MC_A1_cell60231"
"325",6,10,27,"Evan_MC_A1_cell60350"
"326",53,40,92,"Evan_MC_A1_cell60545"
"327",20,64,58,"Evan_MC_A1_cell60728"
"328",4,8,27,"Evan_MC_A1_cell60912"
"329",79,84,105,"Evan_MC_A1_cell60951"
"330",12,11,28,"Evan_MC_A1_cell61475"
"331",79,84,8,"Evan_MC_A1_cell61602"
"332",61,64,58,"Evan_MC_A1_cell61831"
"333",69,89,19,"Evan_MC_A1_cell62117"
"334",68,80,119,"Evan_MC_A1_cell62160"
"335",68,80,119,"Evan_MC_A1_cell62277"
"336",52,44,105,"Evan_MC_A1_cell62617"
"337",57,74,113,"Evan_MC_A1_cell62653"
"338",12,24,99,"Evan_MC_A1_cell62743"
"339",31,23,28,"Evan_MC_A1_cell63753"
"340",73,95,21,"Evan_MC_A1_cell63835"
"341",24,64,58,"Evan_MC_A1_cell63933"
"342",79,84,8,"Evan_MC_A1_cell64120"
"343",79,83,105,"Evan_MC_A1_cell64227"
"344",1,13,66,"Evan_MC_A1_cell64263"
"345",3,40,66,"Evan_MC_A1_cell65135"
"346",6,10,27,"Evan_MC_A1_cell65289"
"347",17,4,43,"Evan_MC_A1_cell65700"
"348",14,10,27,"Evan_MC_A1_cell66375"
"349",73,95,21,"Evan_MC_A1_cell66431"
"350",6,12,30,"Evan_MC_A1_cell66459"
"351",57,2,113,"Evan_MC_A1_cell66565"
"352",18,2,45,"Evan_MC_A1_cell66658"
"353",7,9,76,"Evan_MC_A1_cell66933"
"354",20,20,56,"Evan_MC_A1_cell66955"
"355",72,93,92,"Evan_MC_A1_cell67056"
"356",49,40,92,"Evan_MC_A1_cell67315"
"357",62,60,109,"Evan_MC_A1_cell67462"
"358",25,2,47,"Evan_MC_A1_cell68071"
"359",63,56,112,"Evan_MC_A1_cell68141"
"360",12,3,66,"Evan_MC_A1_cell68178"
"361",75,87,117,"Evan_MC_A1_cell68982"
"362",19,2,45,"Evan_MC_A1_cell69157"
"363",24,14,49,"Evan_MC_A1_cell69317"
"364",19,2,45,"Evan_MC_A1_cell69499"
"365",73,95,21,"Evan_MC_A1_cell69897"
"366",24,14,49,"Evan_MC_A1_cell70066"
"367",72,96,22,"Evan_MC_A1_cell70189"
"368",20,20,56,"Evan_MC_A1_cell70252"
"369",49,44,92,"Evan_MC_A1_cell70696"
"370",49,40,73,"Evan_MC_A1_cell70698"
"371",24,14,49,"Evan_MC_A1_cell70859"
"372",12,35,66,"Evan_MC_A1_cell70919"
"373",13,10,27,"Evan_MC_A1_cell70955"
"374",79,86,107,"Evan_MC_A1_cell71104"
"375",15,2,42,"Evan_MC_A1_cell71276"
"376",12,35,5,"Evan_MC_A1_cell71279"
"377",69,89,19,"Evan_MC_A1_cell71386"
"378",72,40,92,"Evan_MC_A1_cell71549"
"379",68,82,98,"Evan_MC_A1_cell71662"
"380",63,56,112,"Evan_MC_A1_cell72027"
"381",49,40,92,"Evan_MC_A1_cell72364"
"382",79,84,8,"Evan_MC_A1_cell72506"
"383",24,14,49,"Evan_MC_A1_cell72574"
"384",73,95,21,"Evan_MC_A1_cell72722"
"385",49,40,92,"Evan_MC_A1_cell72927"
"386",12,40,66,"Evan_MC_A1_cell72980"
"387",72,40,23,"Evan_MC_A1_cell73133"
"388",24,14,34,"Evan_MC_A1_cell73245"
"389",31,40,75,"Evan_MC_A1_cell73465"
"390",68,80,119,"Evan_MC_A1_cell73645"
"391",62,61,107,"Evan_MC_A1_cell73733"
"392",65,78,4,"Evan_MC_A1_cell74071"
"393",79,85,10,"Evan_MC_A1_cell74453"
"394",12,3,99,"Evan_MC_A1_cell74829"
"395",79,85,10,"Evan_MC_A1_cell74833"
"396",63,56,112,"Evan_MC_A1_cell75510"
"397",79,85,8,"Evan_MC_A1_cell75644"
"398",49,44,92,"Evan_MC_A1_cell75768"
"399",49,40,92,"Evan_MC_A1_cell76131"
