"","Rsec","RsecT","cells"
"5240",18,18,"SM-GE66A_S020_E1-50"
"5241",7,7,"SM-GE66A_S021_E1-50"
"5242",7,7,"SM-GE66A_S022_E1-50"
"5243",1,1,"SM-GE66A_S023_E1-50"
"5244",18,18,"SM-GE66A_S024_E1-50"
"5245",2,2,"SM-GE66A_S033_E1-50"
"5246",14,14,"SM-GE66A_S034_E1-50"
"5247",-1,14,"SM-GE66A_S035_E1-50"
"5248",-1,19,"SM-GE66A_S036_E1-50"
"5249",-1,21,"SM-GE66A_S037_E1-50"
"5250",-1,17,"SM-GE66A_S038_E1-50"
"5251",-1,19,"SM-GE66A_S039_E1-50"
"5252",-1,21,"SM-GE66A_S040_E1-50"
"5253",-1,19,"SM-GE66A_S041_E1-50"
"5254",17,17,"SM-GE66A_S042_E1-50"
"5255",-1,17,"SM-GE66A_S043_E1-50"
"5256",-1,17,"SM-GE66A_S044_E1-50"
"5257",19,19,"SM-GE66A_S045_E1-50"
"5258",9,9,"SM-GE66A_S046_E1-50"
"5259",-1,8,"SM-GE66A_S047_E1-50"
"5260",3,3,"SM-GE66A_S048_E1-50"
"5261",-1,19,"SM-GE66A_S049_E1-50"
"5262",-1,19,"SM-GE66A_S050_E1-50"
"5263",3,3,"SM-GE66A_S051_E1-50"
"5264",17,17,"SM-GE66A_S052_E1-50"
"5265",19,19,"SM-GE66A_S053_E1-50"
"5266",-1,19,"SM-GE66A_S054_E1-50"
"5267",2,2,"SM-GE66A_S055_E1-50"
"5268",-1,21,"SM-GE66A_S056_E1-50"
"5269",19,19,"SM-GE66A_S057_E1-50"
"5270",1,1,"SM-GE66A_S058_E1-50"
"5271",2,2,"SM-GE66A_S059_E1-50"
"5272",14,14,"SM-GE66A_S060_E1-50"
"5273",3,3,"SM-GE66A_S061_E1-50"
"5274",2,2,"SM-GE66A_S062_E1-50"
"5275",-1,19,"SM-GE66A_S063_E1-50"
"5276",19,19,"SM-GE66A_S064_E1-50"
"5277",-1,19,"SM-GE66A_S065_E1-50"
"5278",-1,3,"SM-GE66A_S066_E1-50"
"5279",10,10,"SM-GE66A_S067_E1-50"
"5280",19,19,"SM-GE66A_S068_E1-50"
"5281",-1,17,"SM-GE66A_S069_E1-50"
"5282",-1,17,"SM-GE66A_S070_E1-50"
"5283",-1,19,"SM-GE66A_S071_E1-50"
"5284",2,2,"SM-GE66A_S072_E1-50"
"5285",-1,3,"SM-GE66A_S073_E1-50"
"5286",-1,16,"SM-GE66A_S074_E1-50"
"5287",-1,3,"SM-GE66A_S075_E1-50"
"5288",10,10,"SM-GE66A_S076_E1-50"
"5289",17,17,"SM-GE66A_S077_E1-50"
"5290",17,17,"SM-GE66A_S078_E1-50"
"5291",14,14,"SM-GE66A_S079_E1-50"
"5292",21,21,"SM-GE66A_S080_E1-50"
"5293",-1,9,"SM-GE66A_S081_E1-50"
"5294",3,3,"SM-GE66A_S082_E1-50"
"5295",14,14,"SM-GE66A_S083_E1-50"
"5296",16,16,"SM-GE66A_S084_E1-50"
"5297",-1,21,"SM-GE66A_S085_E1-50"
"5298",-1,10,"SM-GE66A_S086_E1-50"
"5299",-1,19,"SM-GE66A_S087_E1-50"
"5300",16,16,"SM-GE66A_S088_E1-50"
"5301",21,21,"SM-GE66A_S089_E1-50"
"5302",16,16,"SM-GE66A_S090_E1-50"
"5303",3,3,"SM-GE66A_S091_E1-50"
"5304",14,14,"SM-GE66A_S092_E1-50"
"5305",-1,19,"SM-GE66A_S093_E1-50"
"5306",-1,17,"SM-GE66A_S095_E1-50"
"5307",-1,10,"SM-GE66A_S096_E1-50"
"5308",-1,17,"SM-GE66A_S097_E1-50"
"5309",14,14,"SM-GE66A_S098_E1-50"
"5310",18,18,"SM-GE66A_S099_E1-50"
"5311",12,12,"SM-GE66A_S100_E1-50"
"5312",7,7,"SM-GE66A_S101_E1-50"
"5313",-1,2,"SM-GE66A_S102_E1-50"
"5314",12,12,"SM-GE66A_S103_E1-50"
"5315",-1,1,"SM-GE66A_S104_E1-50"
"5316",-1,19,"SM-GE66A_S105_E1-50"
"5317",-1,19,"SM-GE66A_S106_E1-50"
"5318",-1,19,"SM-GE66A_S107_E1-50"
"5319",17,17,"SM-GE66A_S108_E1-50"
"5320",-1,17,"SM-GE66A_S109_E1-50"
"5321",-1,19,"SM-GE66A_S110_E1-50"
"5322",-1,14,"SM-GE66A_S111_E1-50"
"5323",19,19,"SM-GE66A_S112_E1-50"
"5324",19,19,"SM-GE66A_S113_E1-50"
"5325",14,14,"SM-GE66A_S114_E1-50"
"5326",19,19,"SM-GE66A_S115_E1-50"
"5327",3,3,"SM-GE66A_S116_E1-50"
"5328",2,2,"SM-GE66A_S117_E1-50"
"5329",14,14,"SM-GE66A_S118_E1-50"
"5330",-1,13,"SM-GE66A_S120_E1-50"
"5331",-1,19,"SM-GE66A_S121_E1-50"
"5332",17,17,"SM-GE66A_S122_E1-50"
"5333",-1,19,"SM-GE66A_S124_E1-50"
"5334",-1,19,"SM-GE66A_S125_E1-50"
"5335",-1,14,"SM-GE66A_S126_E1-50"
"5336",-1,21,"SM-GE66A_S127_E1-50"
"5337",14,14,"SM-GE66A_S128_E1-50"
"5338",-1,9,"SM-GE66A_S137_E1-50"
"5339",14,14,"SM-GE66A_S138_E1-50"
"5340",-1,19,"SM-GE66A_S140_E1-50"
"5341",19,19,"SM-GE66A_S141_E1-50"
"5342",2,2,"SM-GE66A_S142_E1-50"
"5343",-1,19,"SM-GE66A_S143_E1-50"
"5344",15,15,"SM-GE66A_S145_E1-50"
"5345",17,17,"SM-GE66A_S146_E1-50"
"5346",-1,19,"SM-GE66A_S147_E1-50"
"5347",-1,19,"SM-GE66A_S148_E1-50"
"5348",17,17,"SM-GE66A_S149_E1-50"
"5349",-1,17,"SM-GE66A_S150_E1-50"
"5350",19,19,"SM-GE66A_S152_E1-50"
"5351",19,19,"SM-GE66A_S153_E1-50"
"5352",19,19,"SM-GE66A_S154_E1-50"
"5353",-1,9,"SM-GE66A_S155_E1-50"
"5354",19,19,"SM-GE66A_S156_E1-50"
"5355",1,1,"SM-GE66A_S157_E1-50"
"5356",-1,9,"SM-GE66A_S158_E1-50"
"5357",-1,21,"SM-GE66A_S159_E1-50"
"5358",12,12,"SM-GE66A_S160_E1-50"
"5359",1,1,"SM-GE66A_S161_E1-50"
"5360",3,3,"SM-GE66A_S162_E1-50"
"5361",13,13,"SM-GE66A_S163_E1-50"
"5362",-1,17,"SM-GE66A_S164_E1-50"
"5363",1,1,"SM-GE66A_S165_E1-50"
"5364",7,7,"SM-GE66A_S166_E1-50"
"5365",12,12,"SM-GE66A_S167_E1-50"
"5366",7,7,"SM-GE66A_S168_E1-50"
"5367",7,7,"SM-GE66A_S169_E1-50"
"5368",-1,3,"SM-GE66A_S170_E1-50"
"5369",-1,3,"SM-GE66A_S171_E1-50"
"5370",1,1,"SM-GE66A_S172_E1-50"
"5371",3,3,"SM-GE66A_S173_E1-50"
"5372",1,1,"SM-GE66A_S174_E1-50"
"5373",1,1,"SM-GE66A_S175_E1-50"
"5374",12,12,"SM-GE66A_S176_E1-50"
"5375",3,3,"SM-GE66A_S177_E1-50"
"5376",12,12,"SM-GE66A_S178_E1-50"
"5377",12,12,"SM-GE66A_S179_E1-50"
"5378",12,12,"SM-GE66A_S180_E1-50"
"5379",7,7,"SM-GE66A_S181_E1-50"
"5380",-1,13,"SM-GE66A_S182_E1-50"
"5381",3,3,"SM-GE66A_S183_E1-50"
"5382",-1,12,"SM-GE66A_S184_E1-50"
"5383",18,18,"SM-GE66A_S185_E1-50"
"5384",3,3,"SM-GE66A_S186_E1-50"
"5385",7,7,"SM-GE66A_S187_E1-50"
"5386",-1,13,"SM-GE66A_S188_E1-50"
"5387",18,18,"SM-GE66A_S189_E1-50"
"5388",3,3,"SM-GE66A_S190_E1-50"
"5389",3,3,"SM-GE66A_S192_E1-50"
"5390",18,18,"SM-GE66B_S009_E1-50"
"5391",12,12,"SM-GE66B_S010_E1-50"
"5392",-1,21,"SM-GE66B_S011_E1-50"
"5393",-1,18,"SM-GE66B_S012_E1-50"
"5394",9,9,"SM-GE66B_S013_E1-50"
"5395",-1,14,"SM-GE66B_S014_E1-50"
"5396",-1,14,"SM-GE66B_S015_E1-50"
"5397",-1,17,"SM-GE66B_S016_E1-50"
"5398",1,1,"SM-GE66B_S017_E1-50"
"5399",12,12,"SM-GE66B_S018_E1-50"
"5400",7,7,"SM-GE66B_S019_E1-50"
"5401",12,12,"SM-GE66B_S020_E1-50"
"5402",-1,19,"SM-GE66B_S021_E1-50"
"5403",-1,1,"SM-GE66B_S022_E1-50"
"5404",-1,13,"SM-GE66B_S023_E1-50"
"5405",1,1,"SM-GE66B_S024_E1-50"
"5406",12,12,"SM-GE66B_S025_E1-50"
"5407",1,1,"SM-GE66B_S026_E1-50"
"5408",13,13,"SM-GE66B_S027_E1-50"
"5409",1,1,"SM-GE66B_S028_E1-50"
"5410",1,1,"SM-GE66B_S029_E1-50"
"5411",3,3,"SM-GE66B_S030_E1-50"
"5412",-1,9,"SM-GE66B_S031_E1-50"
"5413",-1,1,"SM-GE66B_S032_E1-50"
"5414",19,19,"SM-GE66B_S033_E1-50"
"5415",-1,17,"SM-GE66B_S034_E1-50"
"5416",-1,17,"SM-GE66B_S036_E1-50"
"5417",-1,9,"SM-GE66B_S037_E1-50"
"5418",3,3,"SM-GE66B_S038_E1-50"
"5419",3,3,"SM-GE66B_S039_E1-50"
"5420",-1,17,"SM-GE66B_S040_E1-50"
"5421",-1,19,"SM-GE66B_S041_E1-50"
"5422",-1,15,"SM-GE66B_S042_E1-50"
"5423",-1,19,"SM-GE66B_S043_E1-50"
"5424",-1,9,"SM-GE66B_S044_E1-50"
"5425",14,14,"SM-GE66B_S045_E1-50"
"5426",19,19,"SM-GE66B_S047_E1-50"
"5427",19,19,"SM-GE66B_S048_E1-50"
"5428",-1,9,"SM-GE66B_S049_E1-50"
"5429",3,3,"SM-GE66B_S051_E1-50"
"5430",3,3,"SM-GE66B_S052_E1-50"
"5431",14,14,"SM-GE66B_S053_E1-50"
"5432",-1,9,"SM-GE66B_S054_E1-50"
"5433",-1,17,"SM-GE66B_S055_E1-50"
"5434",9,9,"SM-GE66B_S056_E1-50"
"5435",18,18,"SM-GE66B_S058_E1-50"
"5436",-1,12,"SM-GE66B_S059_E1-50"
"5437",12,12,"SM-GE66B_S060_E1-50"
"5438",12,12,"SM-GE66B_S061_E1-50"
"5439",18,18,"SM-GE66B_S062_E1-50"
"5440",18,18,"SM-GE66B_S063_E1-50"
"5441",12,12,"SM-GE66B_S064_E1-50"
"5442",-1,13,"SM-GE66B_S065_E1-50"
"5443",-1,12,"SM-GE66B_S066_E1-50"
"5444",1,1,"SM-GE66B_S067_E1-50"
"5445",9,9,"SM-GE66B_S068_E1-50"
"5446",-1,13,"SM-GE66B_S069_E1-50"
"5447",12,12,"SM-GE66B_S070_E1-50"
"5448",-1,17,"SM-GE66B_S071_E1-50"
"5449",-1,2,"SM-GE66B_S072_E1-50"
"5450",15,15,"SM-GE66B_S074_E1-50"
"5451",10,10,"SM-GE66B_S075_E1-50"
"5452",-1,16,"SM-GE66B_S076_E1-50"
"5453",16,16,"SM-GE66B_S077_E1-50"
"5454",16,16,"SM-GE66B_S078_E1-50"
"5455",21,21,"SM-GE66B_S079_E1-50"
"5456",21,21,"SM-GE66B_S080_E1-50"
"5457",-1,17,"SM-GE66B_S082_E1-50"
"5458",1,1,"SM-GE66B_S083_E1-50"
"5459",16,16,"SM-GE66B_S084_E1-50"
"5460",-1,10,"SM-GE66B_S085_E1-50"
"5461",-1,14,"SM-GE66B_S086_E1-50"
"5462",-1,21,"SM-GE66B_S087_E1-50"
"5463",-1,15,"SM-GE66B_S088_E1-50"
"5464",-1,19,"SM-GE66B_S089_E1-50"
"5465",-1,19,"SM-GE66B_S090_E1-50"
"5466",10,10,"SM-GE66B_S091_E1-50"
"5467",-1,19,"SM-GE66B_S092_E1-50"
"5468",-1,17,"SM-GE66B_S093_E1-50"
"5469",-1,21,"SM-GE66B_S096_E1-50"
"5470",17,17,"SM-GE66B_S098_E1-50"
"5471",-1,3,"SM-GE66B_S099_E1-50"
"5472",-1,17,"SM-GE66B_S100_E1-50"
"5473",-1,17,"SM-GE66B_S101_E1-50"
"5474",3,3,"SM-GE66B_S102_E1-50"
"5475",-1,19,"SM-GE66B_S103_E1-50"
"5476",3,3,"SM-GE66B_S104_E1-50"
"5477",-1,17,"SM-GE66B_S113_E1-50"
"5478",3,3,"SM-GE66B_S115_E1-50"
