"2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "cells"
"83" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 4 4 4 7 5 6 7 5 "LS-15500_S24_E1-50"
"84" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15500_S25_E1-50"
"85" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 14 12 17 17 18 20 13 25 20 "LS-15500_S26_E1-50"
"86" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15500_S27_E1-50"
"87" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15500_S28_E1-50"
"88" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 13 11 16 17 17 20 14 26 17 "LS-15500_S29_E1-50"
"89" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 14 9 14 12 17 16 19 19 12 24 16 "LS-15500_S30_E1-50"
"90" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15500_S31_E1-50"
"91" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15500_S32_E1-50"
"92" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S25_E1-50"
"93" 1 1 4 5 6 3 3 3 7 7 8 13 14 13 14 16 12 19 16 21 21 23 24 18 21 18 "LS-15501_S26_E1-50"
"94" 2 1 4 1 5 3 3 3 7 8 8 12 12 14 13 17 13 17 14 19 19 21 21 17 18 15 "LS-15501_S28_E1-50"
"95" 1 1 3 2 2 2 5 5 9 4 7 11 8 9 10 9 15 9 17 15 15 15 14 23 15 26 "LS-15501_S29_E1-50"
"96" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S30_E1-50"
"97" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S31_E1-50"
"98" 1 1 4 5 6 3 3 3 7 7 8 13 14 13 14 16 12 19 16 21 21 23 24 18 21 18 "LS-15501_S32_E1-50"
"99" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S33_E1-50"
"100" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 14 9 14 12 17 16 19 19 12 24 16 "LS-15501_S34_E1-50"
"101" 1 1 3 2 2 2 5 5 9 4 7 11 8 9 10 9 15 9 17 14 14 15 14 23 13 25 "LS-15501_S35_E1-50"
"102" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S37_E1-50"
"103" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15501_S38_E1-50"
"104" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15501_S39_E1-50"
"105" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S40_E1-50"
"106" 1 1 3 2 2 2 5 5 9 4 7 11 8 9 10 9 15 9 17 14 14 15 14 23 13 25 "LS-15501_S42_E1-50"
"107" 2 1 4 1 5 3 3 3 7 8 8 12 12 14 13 17 14 17 14 19 19 21 23 16 19 22 "LS-15501_S43_E1-50"
"108" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15501_S44_E1-50"
"109" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S45_E1-50"
"110" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S46_E1-50"
"111" 2 3 1 3 4 5 8 7 4 11 12 7 11 11 12 14 9 14 16 17 22 19 22 19 23 19 "LS-15501_S47_E1-50"
"112" 1 1 4 5 6 3 3 3 7 7 8 13 14 13 14 16 12 19 16 21 21 23 24 18 21 18 "LS-15501_S48_E1-50"
"113" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S73_E1-50"
"114" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S74_E1-50"
"115" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15501_S75_E1-50"
"116" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15501_S76_E1-50"
"117" 1 1 4 5 6 3 3 3 7 7 8 13 14 13 14 16 12 19 16 21 21 23 24 18 21 18 "LS-15501_S77_E1-50"
"118" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15501_S78_E1-50"
"119" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S80_E1-50"
"120" 2 1 4 1 5 3 3 3 7 8 8 12 12 14 13 17 13 17 14 19 19 21 21 17 18 15 "LS-15501_S81_E1-50"
"121" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S82_E1-50"
"122" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S83_E1-50"
"123" 1 1 3 2 2 2 5 5 10 5 6 9 9 8 9 10 17 11 20 13 13 16 17 24 17 24 "LS-15501_S84_E1-50"
"124" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15501_S85_E1-50"
"125" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15501_S86_E1-50"
"126" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15501_S87_E1-50"
"127" 1 1 4 5 6 3 3 3 7 7 8 13 14 13 14 16 12 19 16 21 21 23 24 18 21 18 "LS-15501_S88_E1-50"
"128" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15510_S01_E1-50"
"129" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15510_S02_E1-50"
"130" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15510_S03_E1-50"
"131" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15510_S04_E1-50"
"132" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15510_S05_E1-50"
"133" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15510_S06_E1-50"
"134" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15510_S07_E1-50"
