"","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","cells"
"60",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S174_E1-50"
"61",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S175_E1-50"
"62",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S176_E1-50"
"63",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S178_E1-50"
"64",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,4,4,2,4,2,1,4,1,3,1,5,1,1,2,2,5,36,6,5,6,5,1,7,3,10,7,3,15,20,13,"SM-GE653_S179_E1-50"
"65",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,4,4,2,4,2,1,4,1,3,1,5,1,1,2,2,5,36,6,4,6,4,1,6,3,10,5,4,15,21,14,"SM-GE653_S180_E1-50"
"66",1,3,1,1,5,7,3,7,9,11,11,11,3,15,16,9,7,7,9,19,11,10,17,23,12,25,25,14,28,17,30,19,32,30,35,26,20,37,38,37,10,19,20,18,22,19,25,25,25,"SM-GE653_S181_E1-50"
"67",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,3,4,1,4,3,2,2,4,2,1,4,3,6,4,2,10,4,3,4,6,19,28,6,41,8,5,41,17,15,"SM-GE653_S182_E1-50"
"68",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S183_E1-50"
"69",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,33,5,1,2,2,5,4,2,15,3,10,14,14,12,"SM-GE653_S184_E1-50"
"70",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,4,4,2,4,2,1,4,1,3,1,5,1,1,3,2,5,35,7,7,7,1,2,5,4,12,11,3,18,18,19,"SM-GE653_S185_E1-50"
"71",1,2,3,4,2,2,6,8,10,7,7,13,8,8,4,16,12,15,17,1,18,22,23,18,23,19,18,25,25,24,20,29,21,21,24,20,31,32,24,35,23,32,32,34,37,34,38,42,41,"SM-GE653_S187_E1-50"
"72",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S188_E1-50"
"73",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S189_E1-50"
"74",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,4,4,2,4,2,1,4,1,3,1,5,1,1,2,2,5,36,6,4,6,4,1,6,3,10,5,4,15,21,14,"SM-GE653_S190_E1-50"
"75",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,4,4,2,4,2,1,4,1,3,1,5,1,1,2,2,5,36,6,4,6,4,1,6,3,10,5,4,15,21,14,"SM-GE653_S191_E1-50"
"76",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,34,5,1,1,3,4,3,1,13,4,8,12,13,11,"SM-GE653_S192_E1-50"
"77",1,3,1,1,5,6,2,5,7,8,8,7,9,3,12,4,3,3,5,5,6,5,5,5,7,5,6,6,6,7,6,8,13,6,9,30,8,9,10,9,33,2,9,2,1,1,3,3,3,"SM-GE64R_S097_E1-50"
"78",1,3,1,1,5,7,4,6,8,9,9,8,11,13,14,7,5,6,6,8,8,8,8,7,10,9,8,9,8,10,11,9,8,8,13,2,13,12,12,11,36,8,14,5,15,11,7,5,9,"SM-GE64R_S098_E1-50"
"79",1,3,1,1,5,6,2,5,7,8,8,7,9,3,12,4,3,3,5,5,6,5,5,5,7,5,6,6,7,8,6,8,11,6,9,14,8,8,10,8,35,1,8,1,29,1,1,2,3,"SM-GE64R_S099_E1-50"
"80",1,3,1,1,5,6,2,5,7,8,8,7,9,3,12,4,3,3,5,5,6,5,5,5,7,5,6,6,6,7,6,8,12,5,10,30,9,10,8,10,32,2,10,3,2,2,2,1,1,"SM-GE64R_S100_E1-50"
